,Year,State,Number of CoCs,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families
0,2012,AK,2,1913,1716,197,1298,1157,141,615,559,56
1,2012,AL,8,5209,3664,1545,3825,2573,1252,1384,1091,293
2,2012,AR,6,4214,1602,2612,3428,1191,2237,786,411,375
3,2012,AZ,3,11302,8215,3087,6310,3786,2524,4992,4429,563
4,2012,CA,42,120098,45890,74208,94888,26494,68394,25210,19396,5814
5,2012,CO,3,16768,7260,9508,5101,2847,2254,11667,4413,7254
6,2012,CT,7,4209,3514,695,2906,2252,654,1303,1262,41
7,2012,DC,1,6954,6275,679,3767,3088,679,3187,3187,0
8,2012,DE,1,1008,986,22,611,589,22,397,397,0
9,2012,FL,28,55170,19832,35338,36771,12801,23970,18399,7031,11368
10,2012,GA,7,20516,8320,12196,15363,4816,10547,5153,3504,1649
11,2012,GU,1,1301,187,1114,255,65,190,1046,122,924
12,2012,HI,2,6246,3726,2520,3130,1075,2055,3116,2651,465
13,2012,IA,3,2928,2780,148,1446,1302,144,1482,1478,4
14,2012,ID,2,1968,1482,486,1175,787,388,793,695,98
15,2012,IL,20,14144,11149,2995,8269,5808,2461,5875,5341,534
16,2012,IN,3,6259,5370,889,3316,2661,655,2943,2709,234
17,2012,KS,5,2684,2350,334,1526,1265,261,1158,1085,73
18,2012,KY,3,5230,4319,911,3282,2555,727,1948,1764,184
19,2012,LA,9,7772,3807,3965,6322,2438,3884,1450,1369,81
20,2012,MA,19,17501,16779,722,6289,5577,712,11212,11202,10
21,2012,MD,16,9454,5942,3512,5727,3445,2282,3727,2497,1230
22,2012,ME,2,2393,2360,33,1287,1254,33,1106,1106,0
23,2012,MI,21,12592,10270,2322,7397,5487,1910,5195,4783,412
24,2012,MN,10,7744,6754,990,3540,2793,747,4204,3961,243
25,2012,MO,8,10237,7893,2344,4855,3531,1324,5382,4362,1020
26,2012,MP,0,.,.,.,.,.,.,.,.,.
27,2012,MS,3,2413,1042,1371,1794,626,1168,619,416,203
28,2012,MT,1,1833,1153,680,1166,653,513,667,500,167
29,2012,NC,12,13524,8809,4715,8480,5461,3019,5044,3348,1696
30,2012,ND,1,688,635,53,485,445,40,203,190,13
31,2012,NE,3,3789,2957,832,2215,1861,354,1574,1096,478
32,2012,NH,3,1496,1329,167,832,683,149,664,646,18
33,2012,NJ,19,13025,11429,1596,6603,5387,1216,6422,6042,380
34,2012,NM,2,3245,2397,848,2136,1471,665,1109,926,183
35,2012,NV,3,8497,3970,4527,7493,2999,4494,1004,971,33
36,2012,NY,31,69566,65482,4084,30133,26097,4036,39433,39385,48
37,2012,OH,9,13977,12246,1731,7855,6432,1423,6122,5814,308
38,2012,OK,8,5032,3043,1989,3454,2073,1381,1578,970,608
39,2012,OR,7,15828,6545,9283,9788,3492,6296,6040,3053,2987
40,2012,PA,18,14736,13660,1076,7295,6316,979,7441,7344,97
41,2012,PR,2,3212,1346,1866,2494,944,1550,718,402,316
42,2012,RI,1,1277,1249,28,788,760,28,489,489,0
43,2012,SC,4,4915,2776,2139,3327,1789,1538,1588,987,601
44,2012,SD,1,859,795,64,512,465,47,347,330,17
45,2012,TN,10,9426,5778,3648,6905,4167,2738,2521,1611,910
46,2012,TX,14,34052,17501,16551,20743,9030,11713,13309,8471,4838
47,2012,UT,3,3527,3052,475,2049,1641,408,1478,1411,67
48,2012,VA,19,8424,6995,1429,5084,3799,1285,3340,3196,144
49,2012,VI,1,484,106,378,438,60,378,46,46,0
50,2012,VT,2,1160,937,223,653,483,170,507,454,53
51,2012,WA,7,20504,15027,5477,11273,6444,4829,9231,8583,648
52,2012,WI,4,6027,5446,581,3033,2619,414,2994,2827,167
53,2012,WV,4,2410,1533,877,1742,1033,709,668,500,168
54,2012,WY,1,1813,475,1338,1302,292,1010,511,183,328
55,2012,Total,425,621553,390155,231398,382156,199159,182997,239397,190996,48401
