State,Code,Count
Alaska,AK,26
Alabama,AL,89
Arkansas,AR,99
Arizona,AZ,60
California,CA,365
Colorado,CO,62
Connecticut,CT,69
Delaware,DE,15
Florida,FL,202
Georgia,GA,95
Hawaii,HI,5
Iowa,IA,43
Idaho,ID,29
Illinois,IL,107
Indiana,IN,98
Kansas,KS,27
Kentucky,KY,60
Louisiana,LA,77
Massachusetts,MA,144
Maryland,MD,121
Maine,ME,28
Michigan,MI,157
Minnesota,MN,47
Missouri,MO,65
Mississippi,MS,20
Montana,MT,14
North Carolina,NC,87
North Dakota,ND,10
Nebraska,NE,16
New Hampshire,NH,23
New Jersey,NJ,96
New Mexico,NM,32
Nevada,NV,20
New York,NY,125
Ohio,OH,126
Oklahoma,OK,41
Oregon,OR,52
Pennsylvania,PA,196
Rhode Island,RI,34
South Carolina,SC,57
South Dakota,SD,17
Tennessee,TN,51
Texas,TX,242
Utah,UT,16
Virginia,VA,69
Vermont,VT,15
Washington,WA,103
Wisconsin,WI,60
West Virginia,WV,29
Wyoming,WY,18
