Name,Address,State,Zipcode,Latitude,Longitude,Code
McKinnell House - Salvation Army Anchorage Alaska,1712 A Street Anchorage,Alaska,99501,61.2045543,-149.8846418,AK
Crossover House Homeless Project Anchorage Alaska,1000 4th Avenue Anchorage,Alaska,99501,61.21846389771,-149.90188598632798,AK
Covenant House Anchorage Alaska,609 F Street Anchorage,Alaska,99501,61.21639633179,-149.893218994141,AK
Downtown Soup Kitchen Hope Center Anchorage Alaska,240 E 3rd Ave Anchorage,Alaska,99501,61.21926,-149.87965,AK
American Red Cross of Alaska Anchorage Alaska,235 E 8th Avenue Anchorage,Alaska,99501,61.21473693848001,-149.88040161132798,AK
Abused Womens Aid in Crisis AWAIC Anchorage Alaska,100 W. 13th Avenue Anchorage,Alaska,99523,61.209564208980005,-149.883483886719,AK
South Central Counseling Center Crossover House Anchorage Alaska,610 E 5TH Avenue Anchorage,Alaska,99501,61.21746444702,-149.872665405273,AK
Salvation Army McKinnel Shelter Anchorage Alaska,564 E. 15th Avenue Anchorage,Alaska,99501,61.20756149292,-149.873886108398,AK
Brother Francis Shelter Anchorage Alaska,1021 E. 3rd Avenue Anchorage,Alaska,99523,61.21963882,-149.864532,AK
Beans Cafe Anchorage Alaska,1101 East 3rd Avenue Anchorage,Alaska,99510,61.21963882446,-149.862594604492,AK
Anchorage Neighborhood Housing Services Anchorage Alaska,480 West Tudor Road Anchorage,Alaska,99503,61.18056488037,-149.89128112793,AK
Clare House Anchorage Alaska,4110 Spenard Road Anchorage,Alaska,99517,61.182935,-149.92949117,AK
Anchorage Gospel Rescue Mission Anchorage Alaska,2823 East Tudor Road Anchorage,Alaska,99507,61.18093872,-149.828476,AK
anchoragerescue Anchorage Alaska,2823 E. Tudor Rd Anchorage,Alaska,99507,61.1809387207,-149.828475952148,AK
Intermission Anchorage Alaska,3745 Community Park Loop Anchorage,Alaska,99501,61.20073699951,-149.811920166016,AK
Family Promise Matanuska Valley - Wasilla Alaska Shelter Wasilla Alaska,690 S. Knik-Goosebay Rd Wasilla,Alaska,99687,61.34721755981,-150.032669067383,AK
Nome Emergency Shelter - Winter Months Only Nome Alaska,2nd and Division St Nome,Alaska,99762,64.49891663,-165.408065,AK
Ascent Russian Orphan Aid Foundation Anchorage Alaska,10421 Thimble Berry Drive Anchorage,Alaska,99515,61.12692260742,-149.85885620117202,AK
Ketchikan Homeless Shelter Ketchikan Alaska,628 Park Avenue Ketchikan,Alaska,99901,55.34329986572,-131.644439697266,AK
First City Homeless Services - Day Shelter Ketchikan Alaska,400 Main Street Ketchikan,Alaska,99901,55.3433283,-131.64751,AK
Friendship Mission Kenai Alaska,14639 N Kenai Spur Hwy Kenai,Alaska,99611,60.58286667,-151.322006,AK
Brother Francis Shelter Kodiak Kodiak Alaska,410 Thorsheim Street Kodiak,Alaska,99615,57.7929725647,-152.40646362304702,AK
Glory Hole Juneau Alaska,247 S Franklin Street Juneau,Alaska,99801,58.55249023438001,-134.215530395508,AK
"Haines Christian Center, Assembly of God Haines Alaska",201 Union Street Haines,Alaska,99827,59.2370223999,-135.44499206543,AK
Fairbanks Rescue Mission Fairbanks Alaska,723 27th Avenue Fairbanks,Alaska,99701,64.82236480713,-147.716644287109,AK
"Love in the Name of Christ (Love Inc,) Kenai Alaska",203 S Willow St Kenai,Alaska,99611,60.55706406,-151.251358,AK
Life Resource Services of Jackson County Scottsboro Alabama,304 South Andrews St  Scottsboro,Alabama,35768,34.6711729,-86.0327422,AL
Christian Mission Bargain Center Shelter and Services Troy Troy Alabama,104 Pecan Street Troy,Alabama,36081,31.791564941409998,-85.968734741211,AL
Ground Zero Rescue Mission Phil Campbell Phil Campbell Alabama,3471 Broad Street Phil Campbell,Alabama,35581,34.34705734253,-87.704391479492,AL
House of Restoration Phenix City Alabama,1200 12th Ct Phenix City,Alabama,36869,32.4681930542,-85.00999450683601,AL
Trunks of Love Lighthouse Ministries Phenix City Alabama,P.O.Box 1285 Phenix City,Alabama,36877,32.4709761,-85.0007653,AL
Sunrise Center Sheffield Alabama,2120 West 17th Street Sheffield,Alabama,35660,34.7612125,-87.706924,AL
Crossroads Community Outreach Florence Alabama,318 S. Court Street  Florence,Alabama,35630,34.79812,-87.67479,AL
Salvation Army Florence Florence Alabama,1601 Huntsville Road Florence,Alabama,35630,34.80730438,-87.6549377,AL
Salvation Army Jasper AL Jasper Alabama,207 20th Street East Jasper,Alabama,35502,33.83137130737,-87.272270202637,AL
New Life Recovery Ministry Enterprise Alabama,317 North Main Street Enterprise,Alabama,36330,31.31692123,-85.856224,AL
Christian Mission Bargain Center Shelter and Services Elba Elba Alabama,342 North Court Street Elba,Alabama,36323,31.41433906555,-86.06608581542999,AL
Women In Crisis Homeless Shelter Inc. Eight Mile Alabama,9030 Broadus Loop Rd. Eight Mile,Alabama,36613,30.823097229000002,-88.255981445313,AL
Jesus Way Homeless Shelter Tuscaloosa Alabama,2681 24th Street Tuscaloosa,Alabama,35401,33.19050216675,-87.56836700439501,AL
Community Soup Bowl Tuscaloosa Alabama,1711 23rd Ave Tuscaloosa,Alabama,35401,33.19653,-87.56108,AL
Salvation Army Tuscaloosa Tuscaloosa Alabama,2902 Greensboro Avenue Tuscaloosa,Alabama,35403,33.1847076416,-87.556533813477,AL
Tuscaloosa VA Medical Center Homeless Services Tuscaloosa Alabama,3701 Loop Road East Tuscaloosa,Alabama,35404,33.19133758545,-87.485939025879,AL
Vision of Grace Transition Home Montgomery Alabama,2764 Vandy Dr Montgomery,Alabama,36110,32.423254,-86.289371,AL
Dent Transitional Program Cottondale Alabama,15769 Thomas Chapel Road Cottondale,Alabama,35453,33.14684296,-87.3234863,AL
Clay Veterans Center Center Point Alabama,2124 Old Springville Road Center Point,Alabama,35212,33.639503479,-86.65929412841801,AL
The Lovelady Center Birmingham Alabama,7916 2nd Ave S Birmingham,Alabama,35206,33.5637884,-86.723112,AL
Ground Zero Rescue Mission Enterprise Alabama,181 Geneva Hwy Enterprise,Alabama,36330,31.31765556,-85.8583755,AL
Vision of Grace Transition Home Montgomery Alabama,2764 Vandy Dr Montgomery,Alabama,36110,32.42321396,-86.2893371,AL
Dothan Rescue Mission - Women's Lodge Dothan Alabama,209 East Washington Street Dothan,Alabama,36301,31.22053146,-85.3901596,AL
Salvation Army Montgomery Montgomery Alabama,900 Maxwell Boulevard Montgomery,Alabama,36104,32.37764359,-86.3255767,AL
Christian Mission Bargain Center Shelter and Services Geneva Geneva Alabama,801 East Town Avenue Geneva,Alabama,36340,31.03310012817,-85.86479949951199,AL
Mary's Shelter Gulf Coast Elberta Alabama,14001 Boros Rd Elberta,Alabama,36530,30.429319,-87.529214,AL
Salvation Army Foley Alabama Foley Alabama,620 N. McKenzie Foley,Alabama,36535,30.4118559,-87.6837473,AL
Family Promise of Baldwin County Homeless Services Foley Alabama,15765 Hwy 59 North C Foley,Alabama,36535,30.45489883,-87.6895904,AL
Mission of Hope For Men and Women Mobile Alabama,14970 Mission Road Mobile,Alabama,36608,30.66160583,-88.3968734,AL
Dale County Rescue Mission Ozark Alabama,182 Martin St Ozark,Alabama,36360,31.45533562,-85.6381301,AL
Momma Tina's Mission House - TOPS Dothan Alabama,605 N. Alice Street Dothan,Alabama,36303,31.23083878,-85.3972015,AL
Dothan Rescue Mission - Men's Lodge Dothan Alabama,216 East Crawford Street Dothan,Alabama,36301,31.22184563,-85.3895111,AL
YWCA Interfaith Hospitality House for Families Birmingham Alabama,5916 1st Ave S Birmingham,Alabama,35212,33.54271317,-86.7476043,AL
Albertville Downtown Rescue Mission Albertville Alabama,5850 US Hwy 431 Suite 36 Albertville,Alabama,35950,34.26227188,-86.1889648,AL
The Salvation Army Gadsden Homeless Shelter And Services Gadsden Alabama,114 North 11th Street Gadsden,Alabama,35901,34.01865768433,-86.017440795898,AL
Thirteenth Place Youth Shelter Gadsden Alabama,405 South 12th Street Gadsden,Alabama,35901,34.01583862,-86.0202331,AL
House of Love and Mercy Tallassee Alabama,508 Jordan Avenue Tallassee,Alabama,36078,32.5298576355,-85.89739990234399,AL
Return To Reality - Recovery House For Women Montgomery Alabama,1000 East South Blvd Montgomery,Alabama,36105,32.32804871,-86.3360519,AL
Friendship Mission For Men Montgomery Alabama,3561 Mobile Highway Montgomery,Alabama,36108,32.33753967,-86.3409347,AL
Genesis House - Aid To Inmate Mothers Montgomery Alabama,660 Morgan Avenue Montgomery,Alabama,36104,32.3664429,-86.31609,AL
Faith Crusade Montgomery Rescue Mission Montgomery Alabama,17 Mildred Street Montgomery,Alabama,36104,32.370838,-86.30903,AL
Renascence In Prisoner Re-entry Montgomery Alabama,215 Clayton Street Montgomery,Alabama,36104,32.37311935,-86.3126297,AL
Family Promise of Montgomery Services Montgomery Alabama,28 Crenshaw Street Montgomery,Alabama,36104,32.37605667,-86.3323135,AL
Mary Ellen's Hearth AT Nellie Burge Community Center Montgomery ,1226 Clay Street Montgomery,Alabama,36104,32.37623,-86.331846,AL
Community Kitchens of Birmingham Birmingham ,5712 1st Avenue North Birmingham,Alabama,35212,33.54233551,-86.7501831,AL
The Firehouse Shelter Birmingham Alabama,1501 Third Avenue North Birmingham,Alabama,35202,33.51285934,-86.8136596,AL
Priority Veteran Birmingham Birmingham Alabama,3600 8th Avenue South Birmingham,Alabama,35222,33.515704,-86.7768227,AL
The Shoulder Rehab For Men Spanish Fort Alabama,4901 Battleship Parkway Spanish Fort,Alabama,36577,30.67407035828,-87.960838317871,AL
Hope's Inn For Single Mothers Lafayette Alabama,PO Box 145 Lafayette,Alabama,36862,32.89984893799,-85.40106201171899,AL
BRIDGES shelter for Teen Girls Tuskegee Alabama,206 East Oak Street Tuskegee,Alabama,36083,32.42344284058,-85.688720703125,AL
His Place - Homeless Services and Substance Abuse Services Opelika Alabama,1415 2nd Avenue Opelika,Alabama,36801,32.65000153,-85.3700027,AL
Harvest Evangelism Opelika Alabama,2510 Pepperell Pkwy  Opelika,Alabama,36801,32.6370117,-85.4155399,AL
Big Oak ranch Girls Facility Springville ,6000 Shelley Drive Springville,Alabama,35147,33.81929398,-86.3740997,AL
The Studio Shelter and Services Huntsville Alabama,1001 Oakwood Avenue Huntsville,Alabama,35801,34.74886322,-86.5958557,AL
New Futures Family Lodge Huntsville Huntsville Alabama,5429 Oakwood Rd Huntsville,Alabama,35806,34.7568889,-86.662176,AL
Salvation Army Center of Hope Decatur Decatur Alabama,114 14th St SW Decatur,Alabama,35601,34.5784603,-86.9869404,AL
Tennessee Valley Outreach Mission Decatur Alabama,2117 Old Moulton Heights Road Decatur,Alabama,35602,34.5957846,-87.021789,AL
The Salvation Army Huntsville Emergency Shelter and Lodge Huntsville Alabama,305 Seminole  Huntsville,Alabama,35805,34.72151184,-86.5978012,AL
Downtown Rescue Mission Huntsville Alabama,1400 Evangel Drive Huntsville,Alabama,35816,34.71536255,-86.5984191,AL
Presbyterian Home for Children Talladega Alabama,905 Ashland Highway Talladega,Alabama,35160,33.4340893,-86.0863212,AL
Alabama Baptist Children's Homes and Family Ministries Oxford Alabama,1210 Friendship Rd Oxford,Alabama,36203,33.59175491333,-85.814598083496,AL
Salvation Army Anniston  Emergency Services Anniston Alabama,420 Noble Street Anniston,Alabama,36201,33.65010071,-85.8302002,AL
Salvation Army Domestic Violence and Womens Shelter Anniston Alabama,PO Box 218 Anniston,Alabama,36202,33.65999985,-85.8300018,AL
Big Oak Ranch Boys Gadsden ,250 Jake Mintz Road Gadsden,Alabama,35905,33.87221527,-85.9863662,AL
A House of Refuge Oneonta Alabama,285 Larocko Road Oneonta,Alabama,35121,33.96895218,-86.4792556,AL
"The Love Center, Inc. Gadsden Alabama",915 S 12th Street Gadsden,Alabama,35901,34.009934,-86.02186,AL
Jefferson-Blount-st. Clair Mental Health/Mental Retardation Authority Birmingham Alabama,940 Montclair Road Birmingham,Alabama,35213,33.51771164,-86.7431259,AL
Salvation Army Mobile - Dauphin Way Lodge Mobile ,1009 Dauphin Street Mobile,Alabama,38604,30.68763733,-88.0580215,AL
Waterfront Rescue Mission of Alabama Mobile Alabama,279A North Washington Ave Mobile,Alabama,36603,30.6934177,-88.0558363,AL
Taking it By Force Women's Weekend Shelter Mobile Alabama,3801C St. Stephens Road Mobile,Alabama,36612,30.74993133545,-88.11463165283199,AL
Salvation Army of Greater Birmingham Emergency Housing Birmingham Alabama,2015 26th Avenue North Birmingham,Alabama,35234,33.5447244,-86.8257133,AL
Changed Lives Christian Center Birmingham  Alabama,1308 26th Ave N Birmingham ,Alabama,35204,33.5419921875,-86.832977294922,AL
Jessies Place - Homeless Shelter for Women and Children Birmingham Alabama,2305 5th Avenue North Birmingham,Alabama,35203,33.5199906,-86.8034106,AL
"First Light, Inc. North Birmingham Alabama",2230 Fourth Avenue North Birmingham,Alabama,35203,33.5193462,-86.8037131,AL
First Light Women Childrens Shelter and Services Birmingham Alabama,2230 Fourth Avenue North Birmingham,Alabama,35203,33.51885986,-86.8044052,AL
Pathways - For Women Birmingham Alabama,409 Richard Arrington Jr. Blvd. N Birmingham,Alabama,35203,33.51845169,-86.8063583,AL
Birmingham PATH Center Birmingham Alabama,409 21st Street N Birmingham,Alabama,35203,33.51815033,-86.8061752,AL
Family Promise of Coastal Alabama Mobile Mobile Alabama,1260 Dauphin Street Mobile,Alabama,36604,30.68746948,-88.0647277,AL
Brother Bryan Mission Birmingham ,1616 2nd Avenue North Birmingham,Alabama,35203,33.5129776,-86.8116836,AL
Aletheia House Birmingham ,201 Finley Avenue West Birmingham,Alabama,35201,33.53640366,-86.8388977,AL
Hope House Residential Youth Shelter Birmingham Alabama,1323 7th Avenue North Birmingham,Alabama,35203,33.516206,-86.818483,AL
Fellowship House Birmingham ,1625 12th Avenue South Birmingham,Alabama,35205,33.49688339,-86.8012237,AL
Bread and Roses Hospitality House Birmingham Alabama,1135 14th Avenue South Birmingham,Alabama,35205,33.49273300170999,-86.808837890625,AL
Hannah Bethany Home - Womens Homeless Shelter Birmingham ,1615 Cullom Street South Birmingham,Alabama,35205,33.49083328,-86.8079376,AL
Jimmie Hale Mission Birmingham Alabama,420 2nd Avenue North Birmingham,Alabama,35222,33.50574112,-86.8271408,AL
Catholic Center of Concern Birmingham ,712 4th Court West Birmingham,Alabama,35204,33.50743866,-86.847557,AL
Foundry Ministries Bessemer ,1801 5th Ave N Bessemer,Alabama,35020,33.4024202,-86.955624,AL
McKemie Place Mobile Alabama,913 Broad Street Mobile,Alabama,36603,30.6674633,-88.0556564,AL
Bridge Ministries - Homeless Families with Children Birmingham Alabama,1016 19th Street South Birmingham,Alabama,35205,33.5005594,-86.7981747,AL
"Committee Against Spouse Abuse, Inc. Pine Bluff Arkansas",Post Office Box 6705 Pine Bluff,Arkansas,71611,34.22353363,-92.0034027,AR
Genesis House of Siloam Springs - Day Shelter Siloam Springs Arkansas,1402 N Inglewood St Siloam Springs,Arkansas,72761,36.196185,-94.531318,AR
Haven of Rest Homeless Shelter West Helena Arkansas,334-336 South Sixth Street West Helena,Arkansas,72390,34.53913879395,-90.63900756835899,AR
The Salvation Army PineBluff Pine Bluff Arkansas,501 E. 12th Avenue Pine Bluff,Arkansas,71601,34.21770477,-91.9992141,AR
Human Development and Research Services Pine Bluff Arkansas,Post Office Box 8225 Pine Bluff,Arkansas,71611,34.22353363,-92.0034027,AR
Domestic Violence Prevention Texarkana Arkansas,424 Spruce St Texarkana,Arkansas,75504,33.42256,-94.04743,AR
Southern Christian Mission Magnolia Arkansas,515 West Monroe Magnolia,Arkansas,71753,33.26475524902,-93.245567321777,AR
7 Hills Day Center Fayetteville Arkansas,1832 S. School Ave Fayetteville,Arkansas,72701,36.0441,-94.164627,AR
The Salvation Army Emergency Shelter Fayetteville Arkansas,219 West 15th St Fayetteville,Arkansas,72701,36.04746627808,-94.162300109863,AR
Domiciliary Care for Homeless Veterans Program North Little Rock Arkansas,2200 Fort Roots Drive North Little Rock,Arkansas,72114,34.77343369,-92.289215,AR
The Salvation Army Shelter Little Rock Little Rock Arkansas,1111 W. Markham Little Rock,Arkansas,72201,34.74959564,-92.2824707,AR
PATH - Partners Against Trafficking Human  Little Rock Arkansas,PO BOX 21066 Little Rock,Arkansas,72221,34.75,-92.290000915527,AR
Gaines House Little Rock Arkansas,1702 Gaines Street Little Rock,Arkansas,72206,34.733284,-92.2807388,AR
Union Rescue Mission Dorcas House Little Rock Arkansas,823 S. Park Street Little Rock,Arkansas,72202,34.74357986,-92.2973327,AR
"Mid Ark Substance Abuse in Little Rock, Arkansas Little Rock Arkansas",4601 W. 7th Little Rock,Arkansas,72205,34.74700928,-92.3248291,AR
St. Francis House Little Rock Arkansas,2701 S. Elm Little Rock,Arkansas,72204,34.72674942,-92.3194809,AR
"GYST House, Inc. Little Rock Arkansas",8101 Frenchman's Lane Little Rock,Arkansas,72209,34.67525482,-92.3498382,AR
"Youth Bridge, Inc. Fayetteville Arkansas",4171 N. Crossover Road Fayetteville,Arkansas,72703,36.12818527222,-94.118705749512,AR
Jessica House for GIRLS Rogers Arkansas,318 W. Elm Rogers,Arkansas,72756,36.33209229,-94.1191558,AR
May House for BOYS Rogers Arkansas,615 West Chestnut Rogers,Arkansas,72756,36.33457184,-94.1226806,AR
The Salvation Army Rogers Arkansas,Post Office Box 969 Rogers,Arkansas,72757,36.333484649659994,-94.124687194824,AR
"Saving Grace, Inc. Rogers Arkansas",1229 W. Poplar St. Rogers,Arkansas,72761,36.33176803589,-94.133255004883,AR
The Haven of Northeast Arkansas Blytheville Arkansas,Post Office Box 1062 Blytheville,Arkansas,72315,35.93349838,-89.9145736,AR
Mississippi County Union Rescue Mission Blytheville Arkansas,400 E Walnut St Blytheville,Arkansas,72316,35.9286636,-89.898745,AR
Good Neighbor Love Center West Memphis Arkansas,780 North College Blvd West Memphis,Arkansas,72301,35.557815551759994,-89.64890289306601,AR
Turning Point Ministries Stuttgart Stuttgart Arkansas,405A E Michigan St Stuttgart,Arkansas,72160,34.50986480713,-91.54836273193399,AR
Gamma House Mountain Home Arkansas Mountain Home Arkansas,104 East 10th Street Mountain Home,Arkansas,72653,36.33145142,-92.3845443,AR
New Directions of Cross County Wynne Arkansas,1201 Canal Avenue Wynne,Arkansas,72396,35.22149658,-90.7804184,AR
"Options, Inc. Monticello Arkansas",113 West Gaines St Monticello,Arkansas,71655,33.62896833,-91.79134667,AR
New Genesis Food Pantry and Outreach Dermott Arkansas,721 South Trotter St Dermott,Arkansas,71638,33.51879501343,-91.437713623047,AR
Haven Conway Conway Arkansas,Post Office Box 11348 Conway,Arkansas,72032,35.09189605713,-92.434707641602,AR
Bethlehem House Conway Arkansas,1115 Parkway Conway,Arkansas,72032,35.09470367,-92.4435806,AR
Dove House Clinton Arkansas,Post Office Box 806 Clinton,Arkansas,72031,35.58966446,-92.4691925,AR
Northwest Arkansas Women's Shelter Rogers Arkansas,1639 North Arkansas Street Rogers,Arkansas,72756,36.34864807129,-94.112991333008,AR
River Valley Shelter for Battered Women & Children Russellville Arkansas,PO Box 2066 Russellville,Arkansas,72811,35.27827072,-93.1348266,AR
Johnson County Helping Hands Clarksville Arkansas,805 Cherry Street Clarksville,Arkansas,72850,35.4720993,-93.4707412,AR
Community Outreach Services Paris Arkansas,317 West Walnut Paris,Arkansas,72855,35.292053222659995,-93.732559204102,AR
The Salvation Army El Dorado Arkansas,419 South Madison El Dorado,Arkansas,71730,33.20820236,-92.6594696,AR
Union County Family Shelter El Dorado Arkansas,P.O. Box 1546 El Dorado,Arkansas,71731,33.21151351929,-92.665496826172,AR
Women's Crisis Center Camden Arkansas,1112 W Washington St Camden,Arkansas,71711,33.5848327,-92.8487456,AR
Women's Shelter of Central Arkansas Conway Arkansas,Post Office 2557 Conway,Arkansas,72032,35.08149337769,-92.393356323242,AR
"Economic and Nonprofit Solutions, Inc Stuttgart Arkansas",301 S Grand Ave Suite 102 Stuttgart,Arkansas,72160,34.49995803833,-91.54972839355499,AR
"AR River Valley Area Council, Inc. - Freedom House Russellville Arkansas",400 Lake Front Drive Russellville,Arkansas,72802,35.30647659302,-93.144897460938,AR
Souls Harbor Rogers Arkansas,1206 N. Second Street Rogers,Arkansas,72756,36.34630584717,-94.116630554199,AR
Northwest Arkansas Children's Shelter Bentonville Arkansas,14100 Vaughn Road Bentonville,Arkansas,72712,36.31587219,-94.3430099,AR
The Salvation Army Emergency Shelter Bentonville Arkansas,3305 SW I Street Bentonville,Arkansas,72712,36.33842468262,-94.22224426269501,AR
Light A candle Maternity Home Hot Springs Arkansas,PO Box 22085 Hot Springs,Arkansas,71903,34.50230026245,-93.02880096435499,AR
"Potter's Clay Ministries, Inc. Hot Springs Arkansas",110 Crescent Ave Hot Springs,Arkansas,71901,34.50153732,-93.0454864,AR
Quapaw House/Harmony and Newton House Hot Springs Arkansas,1309 West Grand Hot Springs,Arkansas,71913,34.5017128,-93.0707092,AR
Samaritan Ministries of Hot Springs Men's Shelter Hot Springs Arkansas,131 Sanford St Hot Springs,Arkansas,71901,34.50022507,-93.0513687,AR
Ouachita Children's Center Hot Springs Arkansas,339 Charteroak Hot Springs,Arkansas,71901,34.49751663,-93.054039,AR
Light A Candle Ministries & Women's Pregnancy Resouce Center  Hot Springs Arkansas,244 Anatole Loop Hot Springs,Arkansas,71901,34.44424057007,-92.991485595703,AR
The Smith House Malvern Arkansas,Post Office Box 966 Malvern,Arkansas,72104,34.362316131590006,-92.812942504883,AR
Teen Challenge Hot Springs Arkansas,Post Office Box 8177 Hot Springs,Arkansas,71910,34.50942230225,-93.052314758301,AR
Western AR Youth Shelter Cecil Arkansas,Highway 96 PO Box 48 Cecil,Arkansas,72930,35.438606262209994,-93.945747375488,AR
"Gateway House I, Inc. Fort Smith Arkansas",3900 North Armour Avenue Fort Smith,Arkansas,72904,35.40929413,-94.3895263,AR
Community Rescue Mission Fort Smith Arkansas,310 N. F Street Fort Smith,Arkansas,72901,35.39308,-94.42287,AR
The Salvation Army Fort Smith Arkansas,301 North 6th Street Fort Smith,Arkansas,72901,35.39028168,-94.4231262,AR
HOPE Campus Fort Smith Arkansas,301 South E Street Fort Smith,Arkansas,72901,35.3785822,-94.4315794,AR
Fort Smith Children's Emergency Shelter Fort Smith Arkansas,3015 South 14th Street Fort Smith,Arkansas,72901,35.35529327,-94.4196472,AR
"In God's Hands Transitional Living Home, Inc. Magnolia Arkansas",1032 Mullins St. #24 Magnolia,Arkansas,71753,33.25758743286,-93.255516052246,AR
Crisis Center for Women Fort Smith Arkansas,5603 S 14th St Fort Smith,Arkansas,72901,35.33222,-94.4192,AR
Gospel Rescue Mission Van Buren Arkansas,201 Drennen St Van Buren,Arkansas,72956,35.43117,-94.35397,AR
"Serenity, Inc. Mountain Home Arkansas",Post Office Box 1111 Mountain Home,Arkansas,72654,36.3351059,-92.3852996,AR
Safe Haven Transitional Housing for Women and Children  Hot Springs Arkansas,110 Highrise Circle Hot Springs,Arkansas,71901,34.51221167,-93.04593167,AR
"Jacob's Place Homeless Mission, Inc. Searcy Arkansas",301 E. Market Street Searcy,Arkansas,72143,35.24959945679,-91.73518371582001,AR
Restoration Village Rogers Arkansas,2215 Little Flock Drive Rogers,Arkansas,72756,36.378071,-94.149151,AR
Benton County Women's Shelter Bentonville Arkansas,Post Office Box 572 Bentonville,Arkansas,72712,36.36057663,-94.223793,AR
"Youth Bridge, Inc. Centerton Arkansas",250 E. Centerton Blvd. Centerton,Arkansas,72719,36.35855102539,-94.28273773193399,AR
Havenwood Bentonville Arkansas,808 N. Main St. Bentonville,Arkansas,72712,36.3819694519,-94.20840454101601,AR
Our House - Hope for the Working Homeless Little Rock Arkansas,302 E Roosevelt Rd Little Rock,Arkansas,72206,34.7241478,-92.2713851,AR
"Jericho Way, Homeless Day Center Little Rock Arkansas",3000 Springer Blvd Little Rock,Arkansas,72206,34.7179579,-92.258798,AR
Union Rescue Mission Little Rock Little Rock Arkansas,3000 Confederate Blvd Little Rock,Arkansas,72204,34.71900177,-92.2590942,AR
Wilbur D. Mills Substance Abuse Facility Searcy Arkansas,3204 E. Moore Street Searcy,Arkansas,72143,35.253219604490006,-91.69593048095699,AR
Family Promises of Pulaski County Little Rock Arkansas,222 East 8th Street Little Rock,Arkansas,72202,34.74121856689,-92.269760131836,AR
Union Rescue Mission Transient Lodge N. Little Rock Arkansas,615 Magnolia N. Little Rock,Arkansas,72114,34.7592086792,-92.265419006348,AR
Open Arms Shelter Lonoke Arkansas,1500 Navajo Trail Lonoke,Arkansas,72086,34.80629349,-91.9232254,AR
Margies Haven House Heber Springs Arkansas,Post Office Box 954 Heber Springs,Arkansas,72543,35.4874115,-92.0252456,AR
Family Violence Prevention Center Batesville Arkansas, 360 W Main St Batesville,Arkansas,72503,35.76822,-91.65703,AR
White River Women's Shelter Newport Arkansas,Post Office Box 304 Newport,Arkansas,72112,35.59144974,-91.2503051,AR
Project New Start Newport Arkansas,1417 Dewey Avenue Newport,Arkansas,72112,35.59967422485,-91.289131164551,AR
"White County Domestic Violence Prevention, Inc. Searcy Arkansas",PO Box 1196 Searcy,Arkansas,72145,35.25082015991,-91.74015045166,AR
Women and Children First Little Rock Arkansas,Post Office Box 1954 Little Rock,Arkansas,72203,34.74865341187,-92.27449035644501,AR
The Salvation Army Mountain Home Arkansas,121 HWY 201 North Mountain Home,Arkansas,72654,36.34396744,-92.3861084,AR
House of Hope Rescue Mission Springdale Arkansas,505 E. Emma Ave Springdale,Arkansas,72764,36.18468,-94.125701,AR
Salvation Army Shelter Jonesboro Jonesboro Arkansas,800 Cate Street Jonesboro,Arkansas,72401,35.84209442,-90.6970825,AR
South AR Youth Services Magnolia Arkansas,Post Office Box 2058 Magnolia,Arkansas,71753,33.2670725,-93.239334,AR
Consolidated Youth Services Jonesboro Arkansas,4220 Stadium Blvd. Jonesboro,Arkansas,72404,35.79105377197,-90.66958618164101,AR
Womens Crisis Center Ne Arkansas Jonesboro Arkansas,Post Office Box 721 Jonesboro,Arkansas,72403,35.83639908,-90.7025222,AR
Hope In Action Shelter Hope Arkansas,606 W 3rd St Hope,Arkansas,71801,33.6657532,-93.5977579,AR
8th Street Mission West Memphis Arkansas,717 East Broadway West Memphis,Arkansas,72301,35.14647675,-90.1758194,AR
