,year,State,Number of CoCs,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families
0,2011,AK,2,2128,1760,368,1286,1042,244,842,718,124
1,2011,AL,8,5558,3749,1809,4325,2782,1543,1233,967,266
2,2011,AR,7,3424,1802,1622,2505,1320,1185,919,482,437
3,2011,AZ,3,10504,7302,3202,6403,3684,2719,4101,3618,483
4,2011,CA,42,125128,50691,74437,97964,29028,68936,27164,21663,5501
5,2011,CO,3,15116,6146,8970,4546,2651,1895,10570,3495,7075
6,2011,CT,7,4456,3761,695,3071,2417,654,1385,1344,41
7,2011,DC,1,6546,6241,305,3858,3553,305,2688,2688,0
8,2011,DE,1,1035,1013,22,663,641,22,372,372,0
9,2011,FL,28,56687,20824,35863,37584,13934,23650,19103,6890,12213
10,2011,GA,7,20975,8723,12252,15975,5388,10587,5000,3335,1665
11,2011,GU,1,1745,204,1541,279,36,243,1466,168,1298
12,2011,HI,2,6188,3632,2556,3195,1077,2118,2993,2555,438
13,2011,IA,3,3134,3013,121,1628,1518,110,1506,1495,11
14,2011,ID,2,2199,1585,614,1310,841,469,889,744,145
15,2011,IL,20,14009,11089,2920,8173,5692,2481,5836,5397,439
16,2011,IN,3,6196,5550,646,3789,3256,533,2407,2294,113
17,2011,KS,5,2511,2222,289,1425,1200,225,1086,1022,64
18,2011,KY,3,6034,5183,851,3842,3170,672,2192,2013,179
19,2011,LA,9,9291,3405,5886,7941,2197,5744,1350,1208,142
20,2011,MA,20,16664,15961,703,6344,5672,672,10320,10289,31
21,2011,MD,16,10208,6496,3712,6353,3957,2396,3855,2539,1316
22,2011,ME,3,2447,2418,29,1184,1157,27,1263,1261,2
23,2011,MI,21,13185,10864,2321,7634,5721,1913,5551,5143,408
24,2011,MN,10,7495,6567,928,3410,2718,692,4085,3849,236
25,2011,MO,8,8989,6718,2271,4657,3263,1394,4332,3455,877
26,2011,MP,0,.,.,.,.,.,.,.,.,.
27,2011,MS,3,2306,1056,1250,1825,734,1091,481,322,159
28,2011,MT,1,1768,1216,552,1094,636,458,674,580,94
29,2011,NC,12,12896,9245,3651,8303,6035,2268,4593,3210,1383
30,2011,ND,1,603,560,43,396,366,30,207,194,13
31,2011,NE,3,3548,3041,507,2210,1872,338,1338,1169,169
32,2011,NH,3,1469,1159,310,820,631,189,649,528,121
33,2011,NJ,19,14137,12830,1307,6841,5960,881,7296,6870,426
34,2011,NM,2,3601,2753,848,2246,1581,665,1355,1172,183
35,2011,NV,3,9150,4545,4605,7973,3403,4570,1177,1142,35
36,2011,NY,32,63445,59778,3667,27338,23842,3496,36107,35936,171
37,2011,OH,9,13030,11224,1806,7812,6329,1483,5218,4895,323
38,2011,OK,8,4625,2988,1637,3236,2070,1166,1389,918,471
39,2011,OR,7,17254,7012,10242,9445,3249,6196,7809,3763,4046
40,2011,PA,18,15096,14036,1060,7867,6872,995,7229,7164,65
41,2011,PR,2,2900,1034,1866,2346,796,1550,554,238,316
42,2011,RI,1,1070,1039,31,652,621,31,418,418,0
43,2011,SC,4,5093,2954,2139,3505,1967,1538,1588,987,601
44,2011,SD,1,826,762,64,460,413,47,366,349,17
45,2011,TN,10,9113,5915,3198,6475,4238,2237,2638,1677,961
46,2011,TX,16,36911,18972,17939,23577,10407,13170,13334,8565,4769
47,2011,UT,3,3130,2687,443,1842,1434,408,1288,1253,35
48,2011,VA,20,8816,7386,1430,5231,4017,1214,3585,3369,216
49,2011,VI,1,532,154,378,450,72,378,82,82,0
50,2011,VT,2,1144,1021,123,637,533,104,507,488,19
51,2011,WA,7,20439,15075,5364,10868,6218,4650,9571,8857,714
52,2011,WI,4,5785,5355,430,2838,2504,334,2947,2851,96
53,2011,WV,4,2211,1405,806,1662,992,670,549,413,136
54,2011,WY,1,1038,195,843,320,127,193,718,68,650
55,2011,Total,432,623788,392316,231472,387613,205834,181779,236175,186482,49693
