Region ,Date,number
AK,2010,1863
AK,2011,2128
AK,2012,1913
AK,2013,1946
AK,2014,1784
AK,2015,1956
AK,2016,1940
AK,2017,1845
AK,2018,2016
AK,2019,1907
AL,2010,6046
AL,2011,5558
AL,2012,5209
AL,2013,4689
AL,2014,4561
AL,2015,3970
AL,2016,4111
AL,2017,3793
AL,2018,3434
AL,2019,3261
AR,2010,2762
AR,2011,3424
AR,2012,4214
AR,2013,3812
AR,2014,2936
AR,2015,2560
AR,2016,2463
AR,2017,2467
AR,2018,2712
AR,2019,2717
AZ,2010,13711
AZ,2011,10504
AZ,2012,11302
AZ,2013,10562
AZ,2014,10495
AZ,2015,9896
AZ,2016,9707
AZ,2017,8947
AZ,2018,9865
AZ,2019,10007
CA,2010,123480
CA,2011,125128
CA,2012,120098
CA,2013,118552
CA,2014,113952
CA,2015,115738
CA,2016,118142
CA,2017,131532
CA,2018,129972
CA,2019,151278
CO,2010,15482
CO,2011,15116
CO,2012,16768
CO,2013,9754
CO,2014,10028
CO,2015,9953
CO,2016,10550
CO,2017,10940
CO,2018,10857
CO,2019,9619
CT,2010,4316
CT,2011,4456
CT,2012,4209
CT,2013,4448
CT,2014,4450
CT,2015,4047
CT,2016,3902
CT,2017,3388
CT,2018,3976
CT,2019,3033
DC,2010,6539
DC,2011,6546
DC,2012,6954
DC,2013,6865
DC,2014,7748
DC,2015,7298
DC,2016,8350
DC,2017,7473
DC,2018,6904
DC,2019,6521
DE,2010,982
DE,2011,1035
DE,2012,1008
DE,2013,946
DE,2014,901
DE,2015,953
DE,2016,1070
DE,2017,994
DE,2018,1082
DE,2019,921
FL,2010,57551
FL,2011,56687
FL,2012,55170
FL,2013,47862
FL,2014,41542
FL,2015,35900
FL,2016,33559
FL,2017,32190
FL,2018,31030
FL,2019,28328
GA,2010,19836
GA,2011,20975
GA,2012,20516
GA,2013,16971
GA,2014,16521
GA,2015,13790
GA,2016,12909
GA,2017,10174
GA,2018,9499
GA,2019,10443
GU,2010,1635
GU,2011,1745
GU,2012,1301
GU,2013,1271
GU,2014,1356
GU,2015,1280
GU,2016,1085
GU,2017,852
GU,2018,854
GU,2019,875
HI,2010,5834
HI,2011,6188
HI,2012,6246
HI,2013,6335
HI,2014,6918
HI,2015,7620
HI,2016,7921
HI,2017,7220
HI,2018,6530
HI,2019,6412
IA,2010,3014
IA,2011,3134
IA,2012,2928
IA,2013,3084
IA,2014,3122
IA,2015,3081
IA,2016,3064
IA,2017,2756
IA,2018,2749
IA,2019,2315
ID,2010,2346
ID,2011,2199
ID,2012,1968
ID,2013,1781
ID,2014,2104
ID,2015,1966
ID,2016,2247
ID,2017,2037
ID,2018,2012
ID,2019,2315
IL,2010,14395
IL,2011,14009
IL,2012,14144
IL,2013,13425
IL,2014,13107
IL,2015,13177
IL,2016,11590
IL,2017,10798
IL,2018,10643
IL,2019,10199
IN,2010,6452
IN,2011,6196
IN,2012,6259
IN,2013,6096
IN,2014,5971
IN,2015,5863
IN,2016,5798
IN,2017,5438
IN,2018,5258
IN,2019,5471
KS,2010,2024
KS,2011,2511
KS,2012,2684
KS,2013,2693
KS,2014,2783
KS,2015,2588
KS,2016,2255
KS,2017,2287
KS,2018,2216
KS,2019,2381
KY,2010,6623
KY,2011,6034
KY,2012,5230
KY,2013,5245
KY,2014,5089
KY,2015,4538
KY,2016,4237
KY,2017,4025
KY,2018,3688
KY,2019,4079
LA,2010,12482
LA,2011,9291
LA,2012,7772
LA,2013,5226
LA,2014,4606
LA,2015,4081
LA,2016,3994
LA,2017,3305
LA,2018,3059
LA,2019,2941
MA,2010,16646
MA,2011,16664
MA,2012,17501
MA,2013,19029
MA,2014,21237
MA,2015,21135
MA,2016,19608
MA,2017,17565
MA,2018,20068
MA,2019,18471
MD,2010,10845
MD,2011,10208
MD,2012,9454
MD,2013,8205
MD,2014,7856
MD,2015,8390
MD,2016,7689
MD,2017,7247
MD,2018,7144
MD,2019,6561
ME,2010,2379
ME,2011,2447
ME,2012,2393
ME,2013,3016
ME,2014,2726
ME,2015,2372
ME,2016,2241
ME,2017,2280
ME,2018,2516
ME,2019,2106
MI,2010,13058
MI,2011,13185
MI,2012,12592
MI,2013,11527
MI,2014,12227
MI,2015,10516
MI,2016,9316
MI,2017,9051
MI,2018,8351
MI,2019,8575
MN,2010,7869
MN,2011,7495
MN,2012,7744
MN,2013,8214
MN,2014,8377
MN,2015,7546
MN,2016,7341
MN,2017,7668
MN,2018,7243
MN,2019,7977
MO,2010,8122
MO,2011,8989
MO,2012,10237
MO,2013,8581
MO,2014,7282
MO,2015,6482
MO,2016,6194
MO,2017,6037
MO,2018,5883
MO,2019,6179
MP,2010,.
MP,2011,.
MP,2012,.
MP,2013,.
MP,2014,.
MP,2015,.
MP,2016,.
MP,2017,672
MP,2018,1044
MP,2019,1807
MS,2010,2743
MS,2011,2306
MS,2012,2413
MS,2013,2403
MS,2014,2226
MS,2015,1983
MS,2016,1738
MS,2017,1472
MS,2018,1352
MS,2019,1184
MT,2010,1615
MT,2011,1768
MT,2012,1833
MT,2013,1878
MT,2014,1745
MT,2015,1709
MT,2016,1418
MT,2017,1529
MT,2018,1405
MT,2019,1357
NC,2010,12191
NC,2011,12896
NC,2012,13524
NC,2013,12168
NC,2014,11491
NC,2015,10685
NC,2016,9559
NC,2017,8962
NC,2018,9268
NC,2019,9314
ND,2010,799
ND,2011,603
ND,2012,688
ND,2013,2069
ND,2014,1258
ND,2015,1305
ND,2016,923
ND,2017,1089
ND,2018,542
ND,2019,557
NE,2010,3877
NE,2011,3548
NE,2012,3789
NE,2013,3145
NE,2014,3026
NE,2015,2744
NE,2016,2754
NE,2017,2501
NE,2018,2421
NE,2019,2365
NH,2010,1574
NH,2011,1469
NH,2012,1496
NH,2013,1447
NH,2014,1376
NH,2015,1445
NH,2016,1366
NH,2017,1456
NH,2018,1450
NH,2019,1396
NJ,2010,13737
NJ,2011,14137
NJ,2012,13025
NJ,2013,12002
NJ,2014,11671
NJ,2015,10098
NJ,2016,8895
NJ,2017,8536
NJ,2018,9398
NJ,2019,8862
NM,2010,3475
NM,2011,3601
NM,2012,3245
NM,2013,2819
NM,2014,2746
NM,2015,2629
NM,2016,2263
NM,2017,2482
NM,2018,2551
NM,2019,3241
NV,2010,11205
NV,2011,9150
NV,2012,8497
NV,2013,7039
NV,2014,8582
NV,2015,8743
NV,2016,7398
NV,2017,7833
NV,2018,7544
NV,2019,7169
NY,2010,65606
NY,2011,63445
NY,2012,69566
NY,2013,77430
NY,2014,80590
NY,2015,88250
NY,2016,86352
NY,2017,89503
NY,2018,91897
NY,2019,92091
OH,2010,12569
OH,2011,13030
OH,2012,13977
OH,2013,12325
OH,2014,11823
OH,2015,11182
OH,2016,10404
OH,2017,10095
OH,2018,10249
OH,2019,10345
OK,2010,5229
OK,2011,4625
OK,2012,5032
OK,2013,4408
OK,2014,4191
OK,2015,3777
OK,2016,4107
OK,2017,4199
OK,2018,3871
OK,2019,3944
OR,2010,19492
OR,2011,17254
OR,2012,15828
OR,2013,13822
OR,2014,12164
OR,2015,13226
OR,2016,13238
OR,2017,13953
OR,2018,14476
OR,2019,15876
PA,2010,14516
PA,2011,15096
PA,2012,14736
PA,2013,15086
PA,2014,15333
PA,2015,15421
PA,2016,15339
