,0
0,Faithhouse Ministries Aberdeen Washington
1,Grays Harbor Youth Center Aberdeen Washington
2,Union Gospel Mission of Grays Harbor Aberdeen Washington
3,Esther Women's Shelter Aberdeen Washington
4,Volunteers of America Spokane - Crosswalk Youth Shelter Spokane Washington
5,Hope House Spokane - Shelter for Women Spokane Washington
6,House of Charity - Catholic Charities Spokane Washington
7,St. Margaret's Shelter Spokane Washington
8,The Salvation Army Emergency Family Shelter Spokane Washington
9,Union Gospel Mission (Spokane) Spokane Washington
10,Truth Ministries Spokane Washington
11,Anacortes Family Center Anacortes Washington
12,Opportunity Council Oak Harbor Washington
13,Oasis Teen Shelter Mount Vernon Washington
14,Friendship House Mount Vernon Washington
15,CADA - Domestic Violence Shelter and Services Oak Harbor Washington
16,Whatcom Housing Programs - For Youths Bellingham Washington
17,The PAD - Northwest Youth Services For Youth Ages 13 - 17 Bellingham Washington
18,YWCA Transitional Housing Bellingham Washington
19,Lighthouse Mission Bellingham Washington
20,LightHouse Mission Shelter Bellingham Washington
21,Hope House Multi Service Center - Homeless Services Only Bellingham Washington
22,Olympic Community Action Programs Port Townsend Washington
23,"Anne Arundel County Department of Social Services, Homeless Services Annapolis Maryland"
24,Light House - Homeless Prevention Support Annapolis Maryland
25,YWCA of Annapolis and Anne Arundel County Domestic Violence Shelter Arnold Maryland
26,Chrysalis House Women's Treatment Center Crownsville Maryland
27,Haven Ministries Chester Maryland
28,Winter Relief for the Homeless Arundel House of Hope Glen Burnie Maryland
29,"Arundel House of Hope, Day Resource Center Glen Burnie Maryland"
30,Safe Haven for Men - Arundel House of Hope Glen Burnie Maryland
31,Women in Safe Haven - Arundel House of Hope Glen Burnie Maryland
32,Sarah's House Fort Meade Maryland
33,Family Crisis Center Dundalk Maryland
34,Laurel Advocacy & Referral Services Laurel Maryland
35,American Rescue Workers Baltimore Maryland
36,South Baltimore Station Baltimore Maryland
37,Baltimore Outreach Services Emergency Shelter  Baltimore Maryland
38,Beans and Bread Outreach Center Baltimore Maryland
39,Bridges To Housing Stability - Family Housing Assistance Columbia Maryland
40,Helping Up Mission Baltimore Maryland
41,Karis Home Baltimore Maryland
42,Baltimore Rescue Mission Baltimore Maryland
43,"Helping Other People through Empowerment, Inc. Baltimore Maryland"
44,Women Affairs of Almumtahinah Home Inc(AMH) Baltimore Maryland
45,"Bea Gaddy's Family Center, Inc. Baltimore Maryland"
46,Bea Gaddy Family Center Homeless Services Baltimore Maryland
47,Mi Casa Su Casa Supportive Housing Program Baltimore Maryland
48,Maryland Center for Veterans Education and Training Baltimore Maryland
49,My Sister's Place Baltimore Maryland
50,Our Daily Bread Baltimore Maryland
51,Pleasant Housing Supportive Housing Baltimore Maryland
52,Code Blue Shelter Baltimore - Weinberg Housing and Resource Center Baltimore Maryland
53,Bon Secours Women's Resources And Day Shelter Baltimore Maryland
54,Project PLASE Main Office Baltimore Maryland
55,Westside Emergency Men's Shelter Catonsville Maryland
56,Sarah's Hope Mount Street Baltimore Maryland
57,Turnaround Inc. - Domestic Violence Shelter Baltimore Maryland
58,Project PLASE Baltimore Maryland
59,Grassroots Crisis Intervention Family Shelter Program Columbia Maryland
60,Randy Sands Men’s Shelter Columbia Maryland
61,Agape House Homeless Services Baltimore Maryland
62,Manna House Baltimore Maryland
63,Mission Possible Ministries Shelter For Men Baltimore Maryland
64,Grassroots Crisis Intervention - Men's And Women's Shelter Columbia Maryland
65,"Hyacinth Independent/Transitional Living Home, INC Baltimore Maryland"
66,Marian House Baltimore Maryland
67,Calvert County Department of Social Services Prince Frederick Maryland
68,Associated Catholic Charities Prince Frederick Maryland
69,"Project ECHO, Inc. Emergency Shelter and Transitional Housing Prince Frederick Maryland"
70,Muslimat Al Nisaa Baltimore Maryland
71,Hands Together Cold Weather Shelter Arlington Washington
72,Snohomish County Human Services Everett Washington
73,Cocoon House For Teens Everett Washington
74,Everett Gospel Mission Men's Shelter Everett Washington
75,Everett Gospel Mission Women and Children's Shelter Everett Washington
76,Housing Hope Everett Washington
77,Fresh Start Housing of Washington Mukilteo Washington
78,Arcadia Shelter Auburn Washington
79,Multi-Service Center & Shelter Federal Way Washington
80,Federal Way Day Center Federal Way 
81,REACH OUT Homeless Winter Shelter Program Kent Washington
82,Home Program Kent WA Kent Washington
83,ARISE Shelter Kent Kent 
84,MDC - Housing For Homeless Tacoma Washington
85,Nativity House Day Shelter Tacoma Washington
86,Tacoma Rescue Mission Tacoma Washington
87,Access Point 4 Housing Tacoma Washington
88,ARISE Shelter  Renton Renton Washington
89,REACH Center of Hope Renton Washington
90,Family Renewal Shelter Tacoma Washington
91,Seattle's Union Gospel Mission - Hope Place Shelter Seattle Washington
92,"Mamma's Hands, House of Hope Preston Washington"
93,Compass Housing Alliance’s Jan & Peter’s Place Women’s Shelter  Seattle Washington
94,Saint Martin dePorres Shelter Seattle Washington
95,Salvation Army William Booth Center Seattle Washington
96,Seattle Indian Center Seattle Washington
97,Seattle's Union Gospel Mission - Shelter for Men Seattle Washington
98,"Mamma's Hands, House of Hope Bellevue "
99,Downtown Emergency Service Center - DESC Seatle Seattle Washington
100,Bread of Life Mission Seattle Washington
101,Compass Center - Compass Housing Alliance  Seattle Washington
102,King County Men’s Winter Shelter  – 420 4th Avenue (Pets Welcomed) Seattle Washington
103,King County Men’s Winter Shelter  - 500 4th Avenue Seattle Washington
104,Seattle City Hall Shelter Seattle Washington
105,Men's Eastside Winter Shelter Bellevue Washington
106,YWCA Emergency Shelter Seattle Washington
107,Salvation Army Women's Shelter Seattle Washington
108,Noel House Women's Referral Center Seattle Washington
109,Mary's Place Seattle Seattle Washington
110,Congregations for the Homeless Eastside Winter Shelter Bellevue Washington
111,Emergency Family Shelter Seattle Washington
112,Mamma's Hands Fall City Washington
113,Jubilee Women's Center Seattle Washington
114,Compass Housing Alliance’s Blaine Center Men’s Shelter Seattle Washington
115,Salvation Army Service Extension Department Seattle Washington
116,Sacred Heart Shelter Seattle Washington
117,Sophia's Place Bellevue Washington
118,Aloha Inn Seattle Washington
119,Roots Young Adult Shelter Seattle Washington
120,The New Bethlehem Day Center Kirkland Washington
121,Eastside Emergency Shelter - The Sophia Way Kirkland Washington
122,Welcome Home Society Lake Forest Park Washington
123,New Way Ministries - Transitional Housing For Women Lynden Washington
124,Oasis Teen Shelter Bremerton Washington
125,Prison Mission Association Port Orchard Washington
126,Providence Community Care Center Olympia Washington
127,Drexel House Olympia Washington
128,Mid-Point Place Men's Shelter Wenatchee Washington
129,YWCA of Lewiston Lewiston Idaho
130,Community Action Center Pullman Washington
131,Sojourners' Alliance Moscow Idaho
132,Sunrise Outreach Center Yakima Washington
133,Salvation Army of Yakima Yakima Washington
134,Rod's House - Drop In Youth Shelter Yakima Washington
135,YWCA Family Crisis Program Yakima Washington
136,Community House on Broadway Longview Washington
137,Love Overwhelming Emergency Shelter Kelso Washington
138,Gates of Grace Vancouver Washington
139,Council for the Homeless Vancouver Washington
140,Tri-City Union Gospel Mission Pasco Washington
141,Benton Franklin Community Action Committee Pasco Washington
142,Hood River Warming Shelter Hood River Oregon
143,Crossroads Housing Shelton Washington
144,Mason County Homeless Shelter Shelton Washington
145,Emogene's Emergency Women's Shelter  (YWCA) Wenatchee Washington
146,Haven Of Hope Women's Shelter Wenatchee Washington
147,Bruce Housing Program Transitional Housing Wenatchee Washington
148,Wenatchee Hospitality House Wenatchee Washington
149,St. Vincent De Paul Coeur d Alene Idaho
150,Children's Village Coeur d Alene Idaho
151,"Maggie's Place, The Mary House Coeur d'Alene Idaho"
152,Women's Center Coeur d Alene Idaho
153,Astoria Rescue Mission Astoria Oregon
154,Serenity House of Clallam County Port Angeles Washington
155,Alternative To Violence Of The Palouse Moscow Idaho
156,Noah's Ark Wapato Washington
157,Guadalupe House - Tacoma Catholic Worker Tucson Washington
158,Transition Center at Prince George's House Capitol Heights Maryland
159,Community Ministry of PG County Warm Nights Shelter Seat Pleasant Maryland
160,The Alexander Social Services Corporation Washington Washington DC
161,801 East Men’s Shelter and Housing Washington District Of Col
162,Calvary Women's Services Washington Washington DC
163,DC General Family Shelter Washington Washington DC
164,Sasha Bruce House Washington Washington DC
165,Shepherd's Cove Capitol Heights Maryland
166,Shepherd's Cove Women's Shelter Capitol Heights Maryland
167,Hyacinth's Place - Transitional Housing For Women Washington Washington DC
168,Blair Transitional Rehabilitation Program Washington Washington DC
169,House of Imagene Shelter and Women's Center Washington Washington DC
170,Washington DC Community For Creative Non Violence Shelter Washington Washington DC
171,Federal City Shelter Washington DC Washington Washington DC
172,Crummel Emergency Shelter for Men Washington Washington DC
173,Central Union Mission Washington Washington
174,Virginia Williams Family Resource Center Washington Washington DC
175,Rachael's Women's Center - Day Center Washington Washington DC
176,Thrive DC Washington Washington DC
177,Luther Place Night Shelter Washington Washington DC
178,Prince George's County Family Crisis Center Shelter Brentwood Maryland
179,Mickey Leland House Washington District Of Col
180,Bethany Women's Center Washington Washington DC
181,The Arlington Homeless Services Unit Residential Program Center Arlington Virginia
182,Casa Ruby Washington Washington DC
183,Salvation Army - The Grate Patrol Washington Washington DC
184,Georgetown Ministry Center  Drop-In Center Washington Washington DC
185,Park Road Transitional House - Coalition For The Homeless Washington Washington DC
186,Christ House Temporary Residence Washington Washington DC
187,La Casa Transitional Rehab Program Washington Washington DC
188,Arlington Street People's Assistance Network (A-SPAN) Arlington Virginia
189,Bridges to Independence Arlington Arlington Virginia
190,Coalition for the Homeless - Webster Transitional House Washington Washington DC
191,"Robert J. Fuller Transitional House Homeless Advocacy Assn., Inc. Waldorf Maryland"
192,Carpenter's Shelter Alexandria Virginia
193,Doorways for Women and Families Arlington Virginia
194,Bailey's Crossroads Community Shelter Falls Church Virginia
195,Community Vision of Interfaith Works Silver Spring Maryland
196,Shepherd’s Table Silver Spring Maryland
197,Homestretch Falls Church Virginia
198,Bethesda Cares Day Shelter Bethesda Maryland
199,Charles County DSS LaPlata Maryland
200,Charles County Department of Social Services La Plata Maryland
201,Catholic Charities Angel's Watch Shelter Hughesville Maryland
202,Dorothy Day Place Women's Shelter Rockville Maryland
203,Stepping Stones Shelter Rockville Maryland
204,The Hilda M. Barg Homeless Prevention Center Woodbridge Virginia
205,Interfaith Works Women’s Center Rockville Maryland
206,Avery House Treatment Center For Women Halfway House Rockville Maryland
207,Rainbow Place (Women Only) Rockville Maryland
208,Montgomery County HHS Rockville Maryland
209,Helping Hands Shelter Rockville Maryland
210,Home Builders Care Assessment Center (HBCAC) Men's Emergency Shelter Rockville Maryland
211,Chase Partnership Men's Shelter Rockville Maryland
212,Safe Havens Rockville Maryland
213,Veterans Affairs Safe Havens Rockville Maryland
214,Montgomery County Coalition for the Homeless Rockville Maryland
215,Elect Ladies Transition Home Woodbridge Virginia
216,Bradley Angle House Portland Oregon
217,United States Mission Portland Oregon
218,Transition Projects (TPI) Day Center Portland Oregon
219,Portland Rescue Mission Portland Oregon
220,Salvation Army Female Emergency Shelter Portland Oregon
221,SAFES at Fairbridge - Salvation Army Female Emergency Shelter Portland Oregon
222,VETS (Veterans Emergency Transitional Shelter)  Portland Oregon
223,City Team Ministries Portland Oregon
224,Rose Haven Day Shelter for Women and Children Portland Oregon
225,Goose Hollow Family Shelter Portland Oregon
226,Daybreak Shelter Portland Portland Oregon
227,My Father's House Community Shelter Gresham Oregon
228,Northwest Housing Alternatives Milwaukie Oregon
229,Road to Hope Maternity Home  Beaverton  Oregon
230,Good Neighbor Center Tigard Oregon
231,The Father's Heart Ministry Day Shelter Oregon City Oregon
232,Clackamas Women's Services Oregon City Oregon
233,Community Action Family Shelter Hillsboro Oregon
234,Family Promise Washington County Oregon Hillsboro 
235,Walla Walla Rescue Mission Walla Walla Washington
236,Forest Grove Temporary Emergency Shelter Forest Grove Oregon
237,Warming Center Bozeman Montana
238,Battered Woman's Shelter Bozeman Montana
239,Family Promise of Gallatin Valley Bozeman Montana
240,Montana Rescue Mission for Men Billings Montana
241,The Women & Family Shelter Billings Montana
242,Montana Rescue Mission Women's and Children's Shelter Billings Montana
243,Butte Rescue Mission Butte Montana
244,A  Ray of Hope Kalispell Montana
245,Samaritan House West Kalispell Montana
246,Rescue Mission Great Falls Montana
247,Rescue Mission Great Falls Montana
248,The Friendship Center Helena Montana
249,Poverello Center - The Poverello Center Missoula Montana
250,Union Gospel Mission of Missoula (formely Missoula 3:16) Missoula Montana
251,Abused Adult Resource Center - Pam's House Bismarck North Dakota
252,Ruth Meirs Hospitality House Bismarck North Dakota
253,Welcome House Bismarck North Dakota
254,Gladys Ray Shelter Fargo North Dakota
255,Youthworks Fargo North Dakota
256,New Life Center Fargo North Dakota
257,Churches United for the Homeless - Micah's Mission Moorhead Minnesota
258,Dorothy Day House Moorhead Minnesota
259,YWCA Cass Clay Fargo North Dakota
260,Northlands Rescue Mission Grand Forks North Dakota
261,YWCA Minot Center of Hope Minot North Dakota
262,Minot Men's Winter Refuge Minot North Dakota
263,Pettigrew Emergency Shelter Omaha Nebraska
264,Open Door Mission Omaha Nebraska
265,Siena Francis House Omaha Nebraska
266,Micah House Council Bluffs Iowa
267,New Visions Homeless Shelter Council Bluffs Council Bluffs Iowa
268,Jacob Rand Day Room Omaha Nebraska
269,Wetzel Homeless Shelter Benedict  Nebraska
270,LifeHouse Fremont Nebraska
271,Hope Harbor Grand Island Nebraska
272,Salvation Army Grand Island Emergency Shelter Grand Island Nebraska
273,Columbus Rescue Mission Columbus Nebraska
274,People's City Mission Lincoln Nebraska
275,Community Action Partnership of Western Nebraska Shelter Gering Gering Nebraska
276,Crossroads Center Rescue Mission Hastings Hastings Nebraska
277,Crossroads Rescue Mission Kearney Kearney Nebraska
278,First Baptist Church Tecumseh Nebraska
279,Norfolk Rescue Mission Norfolk Nebraska
280,The Connection Homeless Shelter North Platte Nebraska
281,Sioux City Gospel Mission Sioux City Iowa
282,The Warming Shelter Sioux City Sioux City 
283,Shesler Hall Transitional Housing For Women Sioux City Iowa
284,Crossroads Homeless Shelter Sioux City Iowa
285,Sicangu Oyate Tipi Homeless Shelter Rosebud  South Dakota
286,"CLUB, Inc., Drop-In Center Ammon Idaho"
287,"CLUB, Inc Idaho Falls Idaho"
288,The Ark  Idaho Falls Idaho
289,Idaho Falls Rescue Mission Idaho Falls Idaho
290,Haven Temporary Shelter Idaho Falls Idaho
291,Freedom LZ Veterans Transitional Housing Pocatello Idaho
292,Aid for Friends Pocatello Idaho
293,Bannock Youth - Bannock House Pocatello Idaho
294,Women's and Children's Alliance Boise Idaho
295,River of Life - Boise Rescue Mission Boise Idaho
296,Boise Rescue Mission - City Light Home For Women & Children Boise Idaho
297,Interfaith Sanctuary Shelter Boise Idaho
298,Boise Rescue Mission - Ministry Center Boise Idaho
299,Salvation Army Housing and Homeless Services Boise Idaho
300,Lighthouse Rescue Mission Nampa Idaho
301,The Salvation Army Family Shelter Nampa Idaho
302,"Valley Women & Children's Shelter in Nampa, ID Nampa Idaho"
303,Hope's Door Caldwell Idaho
304,Project DOVE Ontario Oregon
305,Good Samaritan Mission Jackson Wyoming
306,Valley House Twin Falls Idaho
307,Victory Home Shelter Twin Falls Idaho
308,The Shepherd's Home McCall Idaho
309,Bonner County Homeless Task Force Sandpoint Idaho
