Index,Name,Address,Latitude,Longitude
0,Faithhouse Ministries Aberdeen Washington,"211 East Wishkah Aberdeen, Washington 98550",46.97515106,-123.816108
1,Grays Harbor Youth Center Aberdeen Washington,"111 E. 4th Street Aberdeen, Washington 98520",46.97863388,-123.821167
2,Union Gospel Mission of Grays Harbor Aberdeen Washington,"405 East Heron Aberdeen, Washington 98520",46.97521973,-123.8132401
3,Esther Women's Shelter Aberdeen Washington,"807 W 1st St Aberdeen, Washington 98520",46.9714851,-123.8282192
4,Volunteers of America Spokane - Crosswalk Youth Shelter Spokane Washington,"525 West Second Avenue Spokane, Washington 99201",47.65436172,-117.4199753
5,Hope House Spokane - Shelter for Women Spokane Washington,"111 W Third Ave Spokane, Washington 99201",47.6532524,-117.4140955
6,House of Charity - Catholic Charities Spokane Washington,"32 W Pacific Spokane, Washington 99201",47.65572357,-117.4124298
7,St. Margaret's Shelter Spokane Washington,"101 E. Hartson Spokane, Washington 99202",47.6502533,-117.40921
8,The Salvation Army Emergency Family Shelter Spokane Washington,"204 E Indiana Ave Spokane, Washington 99207",47.67466,-117.40761
9,Union Gospel Mission (Spokane) Spokane Washington,"1224 E Trent Ave. Spokane, Washington 99202",47.66176224,-117.391784
10,Truth Ministries Spokane Washington,"1910 E. Sprague Spokane, Washington 99202",47.65714645,-117.3822632
11,Anacortes Family Center Anacortes Washington,"1011 27th St, P. O. Box 681 Anacortes, Washington 98221",48.50020599,-122.6137009
12,Opportunity Council Oak Harbor Washington,"1791 NE 1st Ave Oak Harbor, Washington 98277",48.29865646,-122.6356354
13,Oasis Teen Shelter Mount Vernon Washington,"125 North Fift Street Mount Vernon, Washington 98273",48.42457581,-122.3380814
14,Friendship House Mount Vernon Washington,"1008 S. Third Street Mount Vernon, Washington 98273",48.4152832,-122.3363266
15,CADA - Domestic Violence Shelter and Services Oak Harbor Washington,"275 SE Pioneer Way # 102 Oak Harbor, Washington 98277",48.2878268,-122.6539609
16,Whatcom Housing Programs - For Youths Bellingham Washington,"1020 N State St Bellingham, Washington 98225",48.7455874,-122.4808952
17,The PAD - Northwest Youth Services For Youth Ages 13 - 17 Bellingham Washington,"1020 N. State St. Bellingham, Washington 98225",48.7455874,-122.4808952
18,YWCA Transitional Housing Bellingham Washington,"1026 N. Forest St. Bellingham, Washington 98225",48.7452773,-122.478939
19,Lighthouse Mission Bellingham Washington,"910 West Holly Street Bellingham, Washington 98225",48.75492859,-122.486854
20,LightHouse Mission Shelter Bellingham Washington,"1013 West Holly Street Bellingham, Washington 2932",48.7554978,-122.488352
21,Hope House Multi Service Center - Homeless Services Only Bellingham Washington,"207 Kentucky Street Bellingham, Washington 98226",48.7579528,-122.473052
22,Olympic Community Action Programs Port Townsend Washington,"823 Commerce Loop Port Townsend, Washington 98368",48.1055069,-122.8047943
23,"Anne Arundel County Department of Social Services, Homeless Services Annapolis Maryland","80 West Street Annapolis, Maryland 21401",38.97820282,-76.4959106
24,Light House - Homeless Prevention Support Annapolis Maryland,"10 Hudson St Annapolis, Maryland 21401",38.98413,-76.53379
25,YWCA of Annapolis and Anne Arundel County Domestic Violence Shelter Arnold Maryland,"1517 Ritchie Highway Arnold, Maryland 21012",39.0320549,-76.5027389
26,Chrysalis House Women's Treatment Center Crownsville Maryland,"1570 Crownsville Rd Crownsville, Maryland 21032",39.01967621,-76.5979538
27,Haven Ministries Chester Maryland,"PO Box 44 Chester, Maryland 21619",38.95231247,-76.28266907
28,Winter Relief for the Homeless Arundel House of Hope Glen Burnie Maryland,"511 S. Crain Highway Glen Burnie, Maryland 21061",39.15695953,-76.62908173
29,"Arundel House of Hope, Day Resource Center Glen Burnie Maryland","514 North Crain Highway, Suite K Glen Burnie, Maryland 21061",39.17207718,-76.6209945
30,Safe Haven for Men - Arundel House of Hope Glen Burnie Maryland,"514 North Crain Highway, Suite K Glen Burnie, Maryland 21061",39.17207718,-76.6209945
31,Women in Safe Haven - Arundel House of Hope Glen Burnie Maryland,"514 North Crain Highway, Suite K Glen Burnie, Maryland 21061",39.17207718,-76.6209945
32,Sarah's House Fort Meade Maryland,"2015 20th Street Fort Meade, Maryland 20755",39.11763382,-76.7285385
33,Family Crisis Center Dundalk Maryland,"P. O. Box 3909 Dundalk, Maryland 21222",39.2506633,-76.520518
34,Laurel Advocacy & Referral Services Laurel Maryland,"311 Laurel Avenue Laurel, Maryland 20707",39.10188293,-76.8475265
35,American Rescue Workers Baltimore Maryland,"1401 South Hanover Street Baltimore, Maryland 21230",39.27361679,-76.6147918
36,South Baltimore Station Baltimore Maryland,"140 W. West Street Baltimore, Maryland 21230",39.2761842,-76.6184459
