Name,Total Population,state
Alabama,4799277,01
Alaska,720316,02
Arizona,6479703,04
Arkansas,2933369,05
California,37659181,06
Colorado,5119329,08
Connecticut,3583561,09
Delaware,908446,10
District of Columbia,619371,11
Florida,19091156,12
Georgia,9810417,13
Hawaii,1376298,15
Idaho,1583364,16
Illinois,12848554,17
Indiana,6514861,18
Iowa,3062553,19
Kansas,2868107,20
Kentucky,4361333,21
Louisiana,4567968,22
Maine,1328320,23
Maryland,5834299,24
Massachusetts,6605058,25
Michigan,9886095,26
Minnesota,5347740,27
Mississippi,2976872,28
Missouri,6007182,29
Montana,998554,30
Nebraska,1841625,31
Nevada,2730066,32
New Hampshire,1319171,33
New Jersey,8832406,34
New Mexico,2069706,35
New York,19487053,36
North Carolina,9651380,37
North Dakota,689781,38
Ohio,11549590,39
Oklahoma,3785742,40
Oregon,3868721,41
Pennsylvania,12731381,42
Rhode Island,1051695,44
South Carolina,4679602,45
South Dakota,825198,46
Tennessee,6402387,47
Texas,25639373,48
Utah,2813673,49
Vermont,625904,50
Virginia,8100653,51
Washington,6819579,53
West Virginia,1853619,54
Wisconsin,5706871,55
Wyoming,570134,56
Puerto Rico,3682966,72
