Name,Total Population,Year,State
Alabama,4712651.0,2010,AL
Alabama,4747424.0,2011,AL
Alabama,4777326.0,2012,AL
Alabama,4799277.0,2013,AL
Alabama,4817678.0,2014,AL
Alabama,4830620.0,2015,AL
Alabama,4841164.0,2016,AL
Alabama,4850771.0,2017,AL
Alabama,4864680.0,2018,AL
Alaska,691189.0,2010,AK
Alaska,700703.0,2011,AK
Alaska,711139.0,2012,AK
Alaska,720316.0,2013,AK
Alaska,728300.0,2014,AK
Alaska,733375.0,2015,AK
Alaska,736855.0,2016,AK
Alaska,738565.0,2017,AK
Alaska,738516.0,2018,AK
Arizona,6246816.0,2010,AZ
Arizona,6337373.0,2011,AZ
Arizona,6410979.0,2012,AZ
Arizona,6479703.0,2013,AZ
Arizona,6561516.0,2014,AZ
Arizona,6641928.0,2015,AZ
Arizona,6728577.0,2016,AZ
Arizona,6809946.0,2017,AZ
Arizona,6946685.0,2018,AZ
Arkansas,2872684.0,2010,AR
Arkansas,2895928.0,2011,AR
Arkansas,2916372.0,2012,AR
Arkansas,2933369.0,2013,AR
Arkansas,2947036.0,2014,AR
Arkansas,2958208.0,2015,AR
Arkansas,2968472.0,2016,AR
Arkansas,2977944.0,2017,AR
Arkansas,2990671.0,2018,AR
California,36637290.0,2010,CA
California,36969200.0,2011,CA
California,37325068.0,2012,CA
California,37659181.0,2013,CA
California,38066920.0,2014,CA
California,38421464.0,2015,CA
California,38654206.0,2016,CA
California,38982847.0,2017,CA
California,39148760.0,2018,CA
Colorado,4887061.0,2010,CO
Colorado,4966061.0,2011,CO
Colorado,5042853.0,2012,CO
Colorado,5119329.0,2013,CO
Colorado,5197580.0,2014,CO
Colorado,5278906.0,2015,CO
Colorado,5359295.0,2016,CO
Colorado,5436519.0,2017,CO
Colorado,5531141.0,2018,CO
Connecticut,3545837.0,2010,CT
Connecticut,3558172.0,2011,CT
Connecticut,3572213.0,2012,CT
Connecticut,3583561.0,2013,CT
Connecticut,3592053.0,2014,CT
Connecticut,3593222.0,2015,CT
Connecticut,3588570.0,2016,CT
Connecticut,3594478.0,2017,CT
Connecticut,3581504.0,2018,CT
Delaware,881278.0,2010,DE
Delaware,890856.0,2011,DE
Delaware,900131.0,2012,DE
Delaware,908446.0,2013,DE
Delaware,917060.0,2014,DE
Delaware,926454.0,2015,DE
Delaware,934695.0,2016,DE
Delaware,943732.0,2017,DE
Delaware,949495.0,2018,DE
District of Columbia,584400.0,2010,DC
District of Columbia,593955.0,2011,DC
District of Columbia,605759.0,2012,DC
District of Columbia,619371.0,2013,DC
District of Columbia,633736.0,2014,DC
District of Columbia,647484.0,2015,DC
District of Columbia,659009.0,2016,DC
District of Columbia,672391.0,2017,DC
District of Columbia,684498.0,2018,DC
Florida,18511620.0,2010,FL
Florida,18688787.0,2011,FL
Florida,18885152.0,2012,FL
Florida,19091156.0,2013,FL
Florida,19361792.0,2014,FL
Florida,19645772.0,2015,FL
Florida,19934451.0,2016,FL
Florida,20278447.0,2017,FL
Florida,20598139.0,2018,FL
Georgia,9468815.0,2010,GA
Georgia,9600612.0,2011,GA
Georgia,9714569.0,2012,GA
Georgia,9810417.0,2013,GA
Georgia,9907756.0,2014,GA
Georgia,10006693.0,2015,GA
Georgia,10099320.0,2016,GA
Georgia,10201635.0,2017,GA
Georgia,10297484.0,2018,GA
Hawaii,1333591.0,2010,HI
Hawaii,1346554.0,2011,HI
Hawaii,1362730.0,2012,HI
Hawaii,1376298.0,2013,HI
Hawaii,1392704.0,2014,HI
Hawaii,1406299.0,2015,HI
Hawaii,1413673.0,2016,HI
Hawaii,1421658.0,2017,HI
Hawaii,1422029.0,2018,HI
Idaho,1526797.0,2010,ID
Idaho,1549987.0,2011,ID
Idaho,1567803.0,2012,ID
Idaho,1583364.0,2013,ID
Idaho,1599464.0,2014,ID
Idaho,1616547.0,2015,ID
Idaho,1635483.0,2016,ID
Idaho,1657375.0,2017,ID
Idaho,1687809.0,2018,ID
Illinois,12745359.0,2010,IL
Illinois,12790182.0,2011,IL
Illinois,12823860.0,2012,IL
Illinois,12848554.0,2013,IL
Illinois,12868747.0,2014,IL
Illinois,12873761.0,2015,IL
Illinois,12851684.0,2016,IL
Illinois,12854526.0,2017,IL
Illinois,12821497.0,2018,IL
Indiana,6417398.0,2010,IN
Indiana,6454254.0,2011,IN
Indiana,6485530.0,2012,IN
Indiana,6514861.0,2013,IN
Indiana,6542411.0,2014,IN
Indiana,6568645.0,2015,IN
Indiana,6589578.0,2016,IN
Indiana,6614418.0,2017,IN
Indiana,6637426.0,2018,IN
Iowa,3016267.0,2010,IA
Iowa,3032266.0,2011,IA
Iowa,3047646.0,2012,IA
Iowa,3062553.0,2013,IA
Iowa,3078116.0,2014,IA
Iowa,3093526.0,2015,IA
Iowa,3106589.0,2016,IA
Iowa,3118102.0,2017,IA
Iowa,3132499.0,2018,IA
Kansas,2809329.0,2010,KS
Kansas,2830985.0,2011,KS
Kansas,2851183.0,2012,KS
Kansas,2868107.0,2013,KS
Kansas,2882946.0,2014,KS
Kansas,2892987.0,2015,KS
Kansas,2898292.0,2016,KS
Kansas,2903820.0,2017,KS
Kansas,2908776.0,2018,KS
