Name,Total Population,state
Alabama,4747424.0,01
Alaska,700703.0,02
Arizona,6337373.0,04
Arkansas,2895928.0,05
California,36969200.0,06
Colorado,4966061.0,08
Connecticut,3558172.0,09
Delaware,890856.0,10
District of Columbia,593955.0,11
Florida,18688787.0,12
Georgia,9600612.0,13
Hawaii,1346554.0,15
Idaho,1549987.0,16
Illinois,12790182.0,17
Indiana,6454254.0,18
Iowa,3032266.0,19
Kansas,2830985.0,20
Kentucky,4316040.0,21
Louisiana,4484596.0,22
Maine,1328543.0,23
Maryland,5736545.0,24
Massachusetts,6512227.0,25
Michigan,9920621.0,26
Minnesota,5278190.0,27
Mississippi,2956700.0,28
Missouri,5955802.0,29
Montana,982854.0,30
Nebraska,1813061.0,31
Nevada,2673396.0,32
New Hampshire,1315911.0,33
New Jersey,8753064.0,34
New Mexico,2037136.0,35
New York,19302448.0,36
North Carolina,9418736.0,37
North Dakota,666783.0,38
Ohio,11525536.0,39
Oklahoma,3714520.0,40
Oregon,3801991.0,41
Pennsylvania,12660739.0,42
Rhode Island,1053959.0,44
South Carolina,4575864.0,45
South Dakota,807697.0,46
Tennessee,6297991.0,47
Texas,24774187.0,48
Utah,2715379.0,49
Vermont,624958.0,50
Virginia,7926192.0,51
Washington,6652845.0,53
West Virginia,1846372.0,54
Wisconsin,5664893.0,55
Wyoming,554697.0,56
Puerto Rico,3742586.0,72
